Time,cus_name,Location
7:12:00,Manuel,checkout
7:12:00,Reginald,checkout
7:12:00,Robyn,checkout
7:12:00,Joanna,spices
7:13:00,Joanna,drinks
7:13:00,Blake,fruit
7:13:00,Tanner,checkout
7:13:00,Krystal,spices
7:13:00,April,drinks
7:13:00,Beth,fruit
7:13:00,Sherry,fruit
7:14:00,Sherry,dairy
7:14:00,April,spices
7:14:00,Krystal,dairy
7:14:00,Blake,checkout
7:14:00,Joanna,fruit
7:14:00,Beth,checkout
7:14:00,Sheena,spices
7:15:00,Krystal,fruit
7:15:00,April,dairy
7:15:00,Sheena,drinks
7:15:00,Sherry,drinks
7:15:00,Joanna,drinks
7:15:00,Charlotte,drinks
7:15:00,Damon,dairy
7:15:00,Elijah,spices
7:15:00,Philip,dairy
7:15:00,Holly,dairy
7:16:00,Damon,spices
7:16:00,Holly,fruit
7:16:00,Sheena,checkout
7:16:00,Michaela,dairy
7:17:00,Michaela,drinks
7:17:00,April,drinks
7:17:00,Krystal,checkout
7:17:00,Elijah,drinks
7:17:00,Charlotte,checkout
7:17:00,Tracey,spices
7:18:00,Michaela,checkout
7:18:00,Joanna,checkout
7:18:00,Damon,dairy
7:18:00,Holly,dairy
7:18:00,Elijah,checkout
7:18:00,Sherry,checkout
7:18:00,Philip,drinks
7:18:00,Tracey,checkout
7:18:00,April,checkout
7:18:00,Kara,fruit
7:18:00,Wanda,dairy
7:18:00,Alexandria,spices
7:18:00,Frank,spices
7:18:00,Eddie,fruit
7:19:00,Kara,checkout
7:19:00,Philip,checkout
7:19:00,Wanda,drinks
7:19:00,Frank,dairy
7:19:00,Holly,checkout
7:19:00,Alexandria,dairy
7:19:00,Eddie,dairy
7:19:00,Damon,checkout
7:19:00,Evelyn,spices
7:19:00,Gabriel,spices
7:19:00,Caitlyn,drinks
7:19:00,Shelley,dairy
7:19:00,Brandy,spices
7:20:00,Eddie,drinks
7:20:00,Gabriel,dairy
7:20:00,Evelyn,checkout
7:20:00,Alexandria,checkout
7:20:00,Brandy,dairy
7:20:00,Caitlyn,spices
7:20:00,Wanda,checkout
7:20:00,Frank,drinks
7:20:00,Shelley,drinks
7:20:00,Seth,fruit
7:20:00,Andres,dairy
7:20:00,Whitney,drinks
7:21:00,Frank,fruit
7:21:00,Seth,dairy
7:21:00,Shelley,spices
7:21:00,Brandy,checkout
7:21:00,Whitney,spices
7:21:00,Eddie,spices
7:21:00,Andres,drinks
7:21:00,Gabriel,spices
7:21:00,Caitlyn,dairy
7:21:00,Jackie,fruit
7:21:00,Patrick,drinks
7:21:00,Paula,dairy
7:22:00,Eddie,dairy
7:22:00,Patrick,checkout
7:22:00,Seth,checkout
7:22:00,Gabriel,fruit
7:22:00,Whitney,fruit
7:22:00,Christina,fruit
7:22:00,Caitlyn,spices
7:22:00,Samantha,dairy
7:23:00,Andres,fruit
7:23:00,Jorge,dairy
7:23:00,Noah,fruit
7:24:00,Gabriel,checkout
7:24:00,Caitlyn,checkout
7:24:00,Sherri,spices
7:25:00,Andres,checkout
7:25:00,Caitlyn,drinks
7:25:00,Jackie,checkout
7:25:00,Martin,drinks
7:25:00,Ann,drinks
7:25:00,Elizabeth,fruit
7:25:00,Latoya,fruit
7:26:00,Martin,spices
7:26:00,Eddie,fruit
7:26:00,Elizabeth,checkout
7:26:00,Latoya,dairy
7:26:00,Paula,checkout
7:26:00,Caitlyn,checkout
7:26:00,Yvonne,fruit
7:26:00,James,drinks
7:26:00,Sherry,fruit
7:26:00,Yesenia,fruit
7:26:00,Riley,dairy
7:27:00,Sherry,checkout
7:27:00,Yvonne,checkout
7:27:00,Samantha,checkout
7:27:00,Whitney,checkout
7:27:00,Cristina,fruit
7:27:00,Troy,drinks
7:27:00,Bonnie,spices
7:27:00,Gabriel,dairy
7:28:00,Jorge,spices
7:28:00,Yesenia,checkout
7:28:00,James,dairy
7:28:00,Latoya,checkout
7:28:00,Troy,fruit
7:28:00,Sylvia,drinks
7:28:00,Alex,dairy
7:28:00,Roberto,fruit
7:28:00,Mackenzie,drinks
7:28:00,Earl,drinks
7:29:00,Alex,spices
7:29:00,Shelley,dairy
7:29:00,Noah,checkout
7:29:00,Sherri,dairy
7:29:00,Martin,checkout
7:29:00,Christina,checkout
7:29:00,Bonnie,checkout
7:29:00,Jasmin,fruit
7:29:00,Mackenzie,fruit
7:29:00,Clifford,drinks
7:29:00,Donna,drinks
7:29:00,Francisco,fruit
7:30:00,Francisco,dairy
7:30:00,Ethan,spices
7:30:00,Harry,drinks
7:30:00,Marcus,dairy
7:31:00,Sherri,fruit
7:31:00,Eddie,checkout
7:31:00,Martin,fruit
7:31:00,Shannon,spices
7:31:00,Caitlin,fruit
7:31:00,Tristan,spices
7:31:00,Candace,dairy
7:32:00,Mackenzie,checkout
7:32:00,Yesenia,dairy
7:32:00,Emma,fruit
7:32:00,Janet,drinks
7:33:00,Shannon,checkout
7:33:00,Harry,fruit
7:33:00,Shelley,drinks
7:33:00,James,checkout
7:33:00,Frank,spices
7:33:00,Leon,drinks
7:33:00,Eddie,drinks
7:34:00,Earl,fruit
7:34:00,Gabriel,spices
7:34:00,Clifford,checkout
7:34:00,Sherri,dairy
7:34:00,Sylvia,spices
7:34:00,Mackenzie,dairy
7:34:00,Jasmine,fruit
7:35:00,Yesenia,fruit
7:35:00,Charlotte,drinks
7:35:00,Mikayla,drinks
7:36:00,Sylvia,checkout
7:36:00,Cristina,spices
7:36:00,Ethan,fruit
7:36:00,Caitlin,checkout
7:36:00,Eddie,checkout
7:36:00,Priscilla,drinks
7:36:00,Deborah,spices
7:37:00,Harry,dairy
7:37:00,Frank,drinks
7:37:00,Roberto,checkout
7:37:00,Donna,checkout
7:37:00,Cesar,dairy
7:37:00,Joe,spices
7:37:00,Chase,spices
7:38:00,Martin,drinks
7:38:00,Shelley,fruit
7:38:00,Jocelyn,spices
7:38:00,Stanley,fruit
7:38:00,Sarah,spices
7:38:00,Molly,spices
7:38:00,Jimmy,drinks
7:39:00,Yesenia,checkout
7:39:00,Jasmine,drinks
7:39:00,Stanley,drinks
7:39:00,Ann,fruit
7:39:00,Sherri,fruit
7:39:00,Deborah,dairy
7:39:00,Jocelyn,dairy
7:39:00,Wendy,dairy
7:39:00,Brendan,fruit
7:39:00,Sophia,drinks
7:39:00,Toni,fruit
7:40:00,Troy,drinks
7:40:00,Gabriel,dairy
7:40:00,Jimmy,spices
7:40:00,Candace,fruit
7:40:00,Nina,fruit
7:40:00,Diana,dairy
7:41:00,Jocelyn,checkout
7:41:00,Dave,dairy
7:41:00,Nathan,spices
7:41:00,Seth,fruit
7:41:00,Nicholas,drinks
7:42:00,Sarah,checkout
7:42:00,Joe,dairy
7:42:00,Jorge,drinks
7:42:00,Marcus,checkout
7:42:00,Cesar,drinks
7:42:00,Nathan,drinks
7:42:00,Colton,fruit
7:42:00,Latoya,spices
7:43:00,Troy,checkout
7:43:00,Nicholas,fruit
7:43:00,Molly,fruit
7:43:00,Jasmine,fruit
7:43:00,Victoria,spices
7:43:00,Crystal,fruit
7:43:00,Alyssa,fruit
7:43:00,Andrea,spices
7:43:00,Bob,fruit
7:44:00,Cristina,dairy
7:44:00,Shelley,checkout
7:44:00,Ann,checkout
7:44:00,Brendan,spices
7:44:00,Francisco,checkout
7:44:00,Bob,spices
7:44:00,Harry,spices
7:44:00,Faith,drinks
7:45:00,Victoria,checkout
7:45:00,Emma,dairy
7:45:00,Alex,fruit
7:45:00,Janet,fruit
7:45:00,Cristina,drinks
7:45:00,Candace,spices
7:45:00,Jimmy,fruit
7:45:00,Tom,drinks
7:45:00,Shelby,spices
7:45:00,Marcia,drinks
7:45:00,Paige,spices
7:45:00,Paige,spices
7:46:00,Faith,checkout
7:46:00,Paige,drinks
7:46:00,Latoya,fruit
7:46:00,Marcia,spices
7:46:00,Dave,fruit
7:46:00,Andrea,dairy
7:46:00,Keith,drinks
7:46:00,Theresa,dairy
7:46:00,Mackenzie,spices
7:46:00,Don,spices
7:47:00,Martin,spices
7:47:00,Bob,drinks
7:47:00,Deborah,checkout
7:47:00,Samuel,fruit
7:47:00,Jonathon,dairy
7:47:00,Belinda,dairy
7:48:00,Keith,checkout
7:48:00,Emma,checkout
7:48:00,Don,checkout
7:48:00,Kathy,fruit
7:48:00,Rachel,drinks
7:48:00,Cindy,drinks
7:48:00,Brandy,fruit
7:49:00,Latoya,drinks
7:49:00,Sophia,checkout
7:49:00,Harry,drinks
7:49:00,Seth,dairy
7:49:00,Kathy,spices
7:49:00,Nathan,dairy
7:49:00,Dillon,dairy
7:49:00,Larry,dairy
7:49:00,Jasmine,fruit
7:49:00,Darryl,spices
7:50:00,Jonathon,checkout
7:50:00,Crystal,checkout
7:50:00,Brendan,dairy
7:50:00,Marcia,drinks
7:50:00,Mallory,dairy
7:50:00,Antonio,dairy
7:51:00,Sherri,checkout
7:51:00,Wendy,fruit
7:51:00,Antonio,fruit
7:51:00,Colton,drinks
7:51:00,Priscilla,spices
7:51:00,Phillip,drinks
7:51:00,Samuel,drinks
7:51:00,Sheryl,fruit
7:51:00,David,dairy
7:51:00,Perry,spices
7:52:00,Sheryl,checkout
7:52:00,David,spices
7:52:00,Jimmy,drinks
7:52:00,Seth,checkout
7:52:00,Tom,spices
7:52:00,Martin,fruit
7:52:00,Joann,drinks
7:52:00,Eduardo,dairy
7:52:00,Catherine,spices
7:52:00,Ruth,fruit
7:52:00,Ryan,drinks
7:53:00,David,fruit
7:53:00,Javier,dairy
7:53:00,Kerry,drinks
7:53:00,Joanna,spices
7:53:00,Sharon,spices
7:53:00,Andre,fruit
7:54:00,Perry,drinks
7:54:00,Chase,drinks
7:54:00,Jasmine,spices
7:54:00,Fred,dairy
7:54:00,Cesar,spices
7:54:00,Wendy,spices
7:54:00,Rachael,drinks
7:55:00,Samuel,fruit
7:55:00,Shelby,drinks
7:55:00,Alyssa,checkout
7:55:00,Javier,spices
7:55:00,Jorge,checkout
7:55:00,Brad,fruit
7:55:00,Vicki,drinks
7:55:00,Nina,spices
7:56:00,Brendan,drinks
7:56:00,Kathy,checkout
7:56:00,Bailey,dairy
7:56:00,Kristi,spices
7:57:00,Earl,checkout
7:57:00,Larry,checkout
7:57:00,Colton,fruit
7:57:00,Angie,fruit
7:57:00,Brooke,fruit
7:57:00,Stacie,drinks
7:58:00,Eduardo,fruit
7:58:00,Mackenzie,fruit
7:58:00,Bob,checkout
7:58:00,Bernard,spices
7:58:00,Angela,dairy
7:59:00,Jasmine,checkout
7:59:00,Bailey,checkout
7:59:00,Phillip,fruit
7:59:00,Jessica,dairy
7:59:00,Guy,dairy
7:59:00,Randy,dairy
7:59:00,Derrick,fruit
7:60:00,Wendy,dairy
7:60:00,Jessica,checkout
7:60:00,Samuel,dairy
7:60:00,Lindsey,dairy
7:60:00,Dan,dairy
7:60:00,Keith,dairy
7:60:00,Megan,dairy
8:1:00,Andrea,checkout
8:1:00,Priscilla,fruit
8:1:00,Stanley,spices
8:1:00,Brooke,dairy
8:1:00,Evelyn,spices
8:1:00,Casey,dairy
8:2:00,Ryan,spices
8:2:00,Charlotte,spices
8:2:00,Cristina,checkout
8:2:00,Shelby,checkout
8:2:00,Leon,spices
8:2:00,Kerry,spices
8:2:00,Keith,checkout
8:2:00,Charlotte,drinks
8:2:00,Mia,dairy
8:2:00,Veronica,drinks
8:3:00,Mikayla,checkout
8:3:00,Randy,checkout
8:3:00,Alex,checkout
8:3:00,Tom,drinks
8:3:00,Mallory,dairy
8:3:00,Rickey,dairy
8:4:00,Mackenzie,checkout
8:4:00,Molly,dairy
8:4:00,Antonio,dairy
8:4:00,Derrick,checkout
8:4:00,Stanley,drinks
8:4:00,Andre,checkout
8:4:00,Emma,spices
8:4:00,Phyllis,fruit
8:5:00,Fred,checkout
8:5:00,Mallory,fruit
8:5:00,Sharon,fruit
8:5:00,Casey,spices
8:5:00,Phillip,checkout
8:5:00,Clarence,dairy
8:5:00,Erin,spices
8:5:00,Tommy,fruit
8:5:00,Elijah,fruit
8:6:00,Nina,checkout
8:6:00,Frank,spices
8:6:00,Angela,fruit
8:6:00,Marcia,checkout
8:6:00,Marcia,fruit
8:6:00,Bridget,spices
8:6:00,Earl,fruit
8:6:00,Tracie,spices
8:6:00,Jonathan,drinks
8:7:00,Belinda,fruit
8:7:00,Dave,checkout
8:7:00,Ernest,drinks
8:7:00,Gordon,drinks
8:7:00,Melvin,fruit
8:7:00,Alison,dairy
8:7:00,Christopher,drinks
8:8:00,Phillip,spices
8:8:00,Kellie,spices
8:8:00,Jody,dairy
8:8:00,Rebecca,spices
8:8:00,Julie,drinks
8:9:00,Janet,checkout
8:9:00,Martin,checkout
8:9:00,David,checkout
8:9:00,Jimmy,drinks
8:10:00,Mackenzie,spices
8:10:00,Wendy,spices
8:10:00,Tristan,dairy
8:10:00,Javier,fruit
8:10:00,Vernon,dairy
8:10:00,Kelsey,dairy
8:10:00,Fred,spices
8:10:00,Latoya,fruit
8:11:00,Kerry,dairy
8:11:00,Phillip,checkout
8:11:00,Eduardo,checkout
8:11:00,Felicia,dairy
8:11:00,Arthur,dairy
8:11:00,Miguel,drinks
8:11:00,Colton,dairy
8:11:00,Molly,spices
8:12:00,Nathan,checkout
8:12:00,Julie,checkout
8:12:00,Daisy,spices
8:12:00,Ariana,dairy
8:12:00,Denise,fruit
8:13:00,Erin,dairy
8:13:00,Ruth,checkout
8:13:00,Tom,checkout
8:13:00,Charles,drinks
8:13:00,Joe,drinks
8:13:00,Audrey,fruit
8:14:00,Angela,checkout
8:14:00,Harry,spices
8:14:00,Catherine,fruit
8:14:00,Loretta,drinks
8:14:00,Paula,drinks
8:14:00,Jeffery,drinks
8:14:00,Rose,fruit
8:14:00,Rose,drinks
8:15:00,Gordon,checkout
8:15:00,Karla,spices
8:16:00,Ethan,dairy
8:16:00,Charlotte,dairy
8:16:00,Thomas,dairy
8:17:00,Latoya,spices
8:17:00,Colton,drinks
8:17:00,Felicia,drinks
8:17:00,Alison,fruit
8:17:00,Kristi,checkout
8:17:00,Joseph,fruit
8:17:00,Derek,fruit
8:17:00,Mandy,fruit
8:18:00,Kelsey,checkout
8:18:00,Daisy,dairy
8:18:00,Tracey,spices
8:18:00,Don,drinks
8:19:00,Joe,spices
8:19:00,Emma,drinks
8:19:00,Dan,fruit
8:19:00,Veronica,checkout
8:19:00,Samuel,checkout
8:19:00,Brandy,spices
8:19:00,Jenny,dairy
8:20:00,Brandy,drinks
8:20:00,Diana,fruit
8:20:00,Candace,fruit
8:20:00,Jimmy,checkout
8:20:00,Fred,drinks
8:20:00,Judith,spices
8:20:00,Dustin,drinks
8:20:00,Sharon,spices
8:20:00,Edwin,spices
8:20:00,Amy,drinks
8:21:00,Harry,checkout
8:21:00,Megan,checkout
8:21:00,Brandy,checkout
8:21:00,Eileen,dairy
8:22:00,Sharon,checkout
8:22:00,Felicia,fruit
8:22:00,Yolanda,fruit
8:22:00,Cathy,dairy
8:22:00,Darren,drinks
8:23:00,Latoya,checkout
8:23:00,Mandy,drinks
8:23:00,Mia,checkout
8:23:00,Gabriel,fruit
8:23:00,Ross,drinks
8:23:00,Jocelyn,spices
8:23:00,Samantha,drinks
8:23:00,Todd,spices
8:23:00,Danielle,fruit
8:24:00,Evelyn,dairy
8:24:00,Derek,drinks
8:24:00,Colton,checkout
8:24:00,Crystal,drinks
8:24:00,Wayne,spices
8:24:00,Brooke,drinks
8:24:00,Norma,dairy
8:25:00,Jocelyn,fruit
8:25:00,Sue,fruit
8:25:00,Mindy,dairy
8:25:00,Alison,dairy
8:26:00,Bernard,dairy
8:26:00,Cathy,checkout
8:26:00,Joseph,checkout
8:26:00,Tamara,drinks
8:26:00,Teresa,dairy
8:26:00,Luke,fruit
8:26:00,Sandra,spices
8:27:00,Joe,drinks
8:27:00,Norma,checkout
8:27:00,Samuel,spices
8:27:00,Charles,checkout
8:27:00,Nicholas,dairy
8:27:00,Antonio,checkout
8:27:00,Jeff,dairy
8:27:00,Jim,spices
8:27:00,Jenna,drinks
8:27:00,Mason,fruit
8:27:00,Colton,spices
8:28:00,Dillon,fruit
8:28:00,Amy,spices
8:28:00,Brad,drinks
8:28:00,Jimmy,fruit
8:29:00,Danielle,checkout
8:29:00,Daisy,fruit
8:29:00,Derek,spices
8:29:00,Terry,dairy
8:29:00,Bruce,dairy
8:29:00,Jeffery,dairy
8:29:00,Edgar,drinks
8:29:00,Ian,spices
8:30:00,Javier,drinks
8:30:00,Cesar,checkout
8:30:00,Jonathan,checkout
8:30:00,Edwin,checkout
8:30:00,Sandra,checkout
8:30:00,Gabriel,checkout
8:30:00,Dennis,fruit
8:30:00,Vanessa,drinks
8:30:00,Dylan,drinks
8:31:00,Frank,dairy
8:31:00,Miguel,checkout
8:31:00,Theresa,spices
8:31:00,Earl,checkout
8:31:00,Alison,drinks
8:31:00,Ryan,fruit
8:31:00,Michele,fruit
8:31:00,Julia,drinks
8:31:00,Christine,drinks
8:31:00,Priscilla,dairy
8:31:00,Alfred,drinks
8:32:00,Brooke,checkout
8:32:00,Samantha,checkout
8:32:00,Candace,dairy
8:32:00,Theresa,drinks
8:32:00,Perry,fruit
8:32:00,Sharon,checkout
8:32:00,Kristine,dairy
8:32:00,Mercedes,dairy
8:32:00,Edwin,drinks
8:32:00,Cody,dairy
8:32:00,Dustin,drinks
8:33:00,Bruce,checkout
8:33:00,Jackie,drinks
8:34:00,Christopher,spices
8:34:00,Molly,dairy
8:34:00,Brendan,fruit
8:34:00,Belinda,checkout
8:34:00,Dillon,dairy
8:34:00,Guy,spices
8:34:00,Catherine,fruit
8:34:00,Cody,drinks
8:34:00,Allison,fruit
8:35:00,Catherine,checkout
8:35:00,Joe,fruit
8:35:00,Brad,drinks
8:35:00,Regina,spices
8:35:00,Patty,drinks
8:36:00,Dan,spices
8:36:00,Ernest,checkout
8:36:00,Stacie,checkout
8:36:00,Mallory,fruit
8:36:00,Terry,drinks
8:36:00,Hunter,dairy
8:36:00,Linda,fruit
8:36:00,Cole,drinks
8:36:00,Caroline,spices
8:36:00,Gerald,drinks
8:37:00,Dan,fruit
8:37:00,Sue,dairy
8:37:00,Cesar,dairy
8:37:00,Christine,spices
8:37:00,Phyllis,checkout
8:37:00,Faith,dairy
8:37:00,Joanna,drinks
8:37:00,Marissa,dairy
8:37:00,Gary,fruit
8:38:00,Caroline,checkout
8:38:00,Erin,checkout
8:38:00,Rachel,checkout
8:38:00,Rickey,drinks
8:38:00,Dylan,checkout
8:38:00,Jimmy,drinks
8:38:00,Miranda,dairy
8:38:00,Natalie,fruit
8:38:00,Cory,drinks
8:39:00,Vernon,checkout
8:39:00,Chelsea,fruit
8:39:00,Tommy,spices
8:39:00,Destiny,spices
8:40:00,Judith,dairy
8:40:00,Destiny,drinks
8:40:00,Daisy,checkout
8:40:00,Shaun,fruit
8:40:00,Howard,fruit
8:41:00,Jocelyn,drinks
8:41:00,Cory,spices
8:41:00,Leon,drinks
8:41:00,Diana,drinks
8:41:00,Brooke,drinks
8:41:00,Dennis,dairy
8:41:00,Darren,spices
8:41:00,Hayden,drinks
8:42:00,Lindsey,fruit
8:42:00,Tristan,fruit
8:42:00,Alison,fruit
8:42:00,Steve,fruit
8:42:00,Lynn,dairy
8:42:00,Alice,dairy
8:42:00,Julia,drinks
8:42:00,Shawna,spices
8:43:00,Clarence,drinks
8:43:00,Jenny,drinks
8:43:00,Ian,dairy
8:43:00,Chase,fruit
8:43:00,Linda,dairy
8:43:00,Frank,fruit
8:43:00,Alison,checkout
8:43:00,Sergio,spices
8:44:00,Eileen,spices
8:44:00,Cory,drinks
8:44:00,Samuel,dairy
8:44:00,Ivan,dairy
8:44:00,Sheila,spices
8:44:00,Suzanne,fruit
8:45:00,Joe,checkout
8:45:00,Nina,drinks
8:45:00,Mandy,spices
8:45:00,Julia,checkout
8:45:00,Briana,spices
8:45:00,Arthur,dairy
8:45:00,Olivia,fruit
8:46:00,Darren,checkout
8:46:00,Alexa,drinks
8:46:00,Madeline,fruit
8:46:00,Meghan,fruit
8:47:00,Kerry,checkout
8:47:00,Sheila,dairy
8:47:00,Ross,fruit
8:47:00,Loretta,checkout
8:47:00,Arthur,checkout
8:47:00,Joe,checkout
8:47:00,Jackson,fruit
8:48:00,Jeffery,drinks
8:48:00,Rhonda,fruit
8:48:00,Claire,fruit
8:48:00,Kristy,fruit
8:49:00,Brad,spices
8:49:00,Rickey,checkout
8:49:00,Sandra,fruit
8:49:00,Kathryn,drinks
8:50:00,Eileen,drinks
8:50:00,Nicholas,fruit
8:50:00,Lindsey,dairy
8:50:00,Terry,fruit
8:50:00,Colleen,fruit
8:50:00,Miranda,drinks
8:50:00,Jodi,spices
8:50:00,Walter,drinks
8:50:00,Anne,drinks
8:51:00,Cody,checkout
8:51:00,Shawna,fruit
8:51:00,Tracey,dairy
8:51:00,Todd,drinks
8:51:00,Maxwell,spices
8:51:00,Isabel,dairy
8:51:00,Brett,dairy
8:51:00,Beth,dairy
8:51:00,Todd,drinks
8:52:00,Priscilla,checkout
8:52:00,Ruth,spices
8:52:00,Sheila,fruit
8:52:00,Vernon,fruit
8:53:00,Cory,checkout
8:53:00,Jenna,fruit
8:53:00,Mary,drinks
8:54:00,Molly,fruit
8:54:00,Faith,fruit
8:54:00,Mallory,checkout
8:54:00,Marcia,dairy
8:54:00,Danny,spices
8:54:00,Dorothy,drinks
8:55:00,Jasmin,dairy
8:55:00,Brett,checkout
8:55:00,Riley,spices
8:55:00,Fred,spices
8:55:00,Tommy,dairy
8:55:00,Walter,fruit
8:55:00,Briana,fruit
8:56:00,Sheila,fruit
8:56:00,Natalie,dairy
8:56:00,Alicia,dairy
8:57:00,Lynn,checkout
8:57:00,Colton,checkout
8:57:00,Hunter,checkout
8:57:00,Ebony,drinks
8:57:00,Scott,fruit
8:57:00,Latoya,fruit
8:57:00,Douglas,fruit
8:57:00,Alison,spices
8:58:00,Alison,drinks
8:58:00,Shaun,checkout
8:58:00,Jenny,spices
8:58:00,Danielle,fruit
8:58:00,Misty,drinks
8:58:00,Selena,spices
8:58:00,Mckenzie,spices
8:59:00,Rachael,spices
8:59:00,Fred,drinks
8:59:00,Jim,fruit
8:59:00,Faith,checkout
8:59:00,Olivia,dairy
8:59:00,Ann,dairy
8:59:00,Shelley,fruit
8:59:00,Alexander,drinks
8:60:00,Latoya,checkout
8:60:00,Destiny,checkout
8:60:00,Colleen,spices
8:60:00,Howard,dairy
8:60:00,Tracey,spices
8:60:00,Molly,checkout
8:60:00,Yolanda,drinks
8:60:00,Neil,drinks
8:60:00,Kellie,spices
8:60:00,Tony,spices
8:60:00,Heather,dairy
9:1:00,Alison,fruit
9:1:00,Jenny,drinks
9:1:00,Casey,dairy
9:1:00,Miranda,spices
9:1:00,Briana,checkout
9:1:00,Shelley,checkout
9:1:00,Eileen,dairy
9:1:00,Roy,spices
9:1:00,Alexandria,drinks
9:1:00,Ellen,drinks
9:2:00,Olivia,fruit
9:2:00,Michele,spices
9:2:00,Carmen,fruit
9:2:00,Earl,drinks
9:2:00,Colleen,dairy
9:3:00,Jasmine,checkout
9:3:00,Jenna,checkout
9:3:00,Misty,fruit
9:3:00,Steve,dairy
9:3:00,Janet,dairy
9:4:00,Elijah,checkout
9:4:00,Theresa,checkout
9:4:00,Olivia,checkout
9:4:00,Julia,checkout
9:4:00,Perry,checkout
9:4:00,Joanna,dairy
9:4:00,Jody,drinks
9:4:00,Bobby,fruit
9:4:00,Sylvia,dairy
9:5:00,Sheila,checkout
9:5:00,Brandy,spices
9:5:00,Todd,checkout
9:5:00,Mercedes,drinks
9:5:00,Chelsea,checkout
9:5:00,Selena,drinks
9:5:00,Darryl,fruit
9:5:00,Teresa,drinks
9:5:00,Isaac,fruit
9:5:00,Felicia,fruit
9:5:00,Adriana,fruit
9:6:00,Jackson,dairy
9:6:00,Jeremy,dairy
9:6:00,Audrey,drinks
9:7:00,Leon,checkout
9:7:00,Terry,dairy
9:7:00,Evelyn,spices
9:7:00,Guy,drinks
9:7:00,Tina,dairy
9:7:00,Bailey,spices
9:7:00,Rhonda,spices
9:7:00,Tom,dairy
9:8:00,Jenny,checkout
9:8:00,Marcia,checkout
9:8:00,Jocelyn,checkout
9:8:00,Patty,checkout
9:8:00,Joanna,checkout
9:8:00,Melvin,spices
9:8:00,Jillian,fruit
9:8:00,Javier,fruit
9:8:00,Casey,fruit
9:9:00,Javier,dairy
9:9:00,Suzanne,spices
9:9:00,Molly,dairy
9:9:00,Rachael,fruit
9:9:00,Allen,fruit
9:9:00,Randall,dairy
9:9:00,Heather,fruit
9:10:00,Nicholas,checkout
9:10:00,Gary,checkout
9:10:00,Nina,checkout
9:10:00,Gerald,fruit
9:10:00,Toni,drinks
9:10:00,April,fruit
9:10:00,Erin,spices
9:11:00,Riley,checkout
9:11:00,Angie,spices
9:11:00,Molly,spices
9:11:00,Cheyenne,spices
9:12:00,Colleen,fruit
9:12:00,Ann,drinks
9:12:00,Tommy,drinks
9:12:00,Kathryn,spices
9:12:00,Cheyenne,drinks
9:12:00,Mary,fruit
9:12:00,Frank,checkout
9:12:00,Danny,spices
9:12:00,Thomas,spices
9:12:00,Kyle,fruit
9:12:00,Melissa,spices
9:13:00,Rose,checkout
9:13:00,Misty,checkout
9:13:00,Shawna,checkout
9:13:00,Tina,spices
9:14:00,Miranda,checkout
9:14:00,Bonnie,fruit
9:14:00,Dorothy,spices
9:14:00,Jenna,dairy
9:15:00,Jeremy,drinks
9:15:00,Briana,drinks
9:15:00,Charles,fruit
